2025-10-24 08:04:51 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5970.3 KB): bsv_gc_n_28_du_20_05_2025.pdf
2025-10-24 08:04:52 | INFO     | __main__                       | Téléchargement [10/38]: bsv_gc_n_27_du_13_05_2025.pdf
2025-10-24 08:04:54 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4893.0 KB): bsv_gc_n_27_du_13_05_2025.pdf
2025-10-24 08:04:55 | INFO     | __main__                       | Téléchargement [11/38]: bsv_gc_n_26_du_06_05_2025.pdf
2025-10-24 08:05:02 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5436.4 KB): bsv_gc_n_26_du_06_05_2025.pdf
2025-10-24 08:05:03 | INFO     | __main__                       | Téléchargement [12/38]: bsv_gc_n_25_du_29_04_2025.pdf
2025-10-24 08:05:09 | INFO     | utils.file_utils               | PDF téléchargé avec succès (8236.2 KB): bsv_gc_n_25_du_29_04_2025.pdf
2025-10-24 08:05:10 | INFO     | __main__                       | Téléchargement [13/38]: bsv_gc_n_24_du_23_04_2025.pdf
2025-10-24 08:05:17 | INFO     | utils.file_utils               | PDF téléchargé avec succès (12235.9 KB): bsv_gc_n_24_du_23_04_2025.pdf
2025-10-24 08:05:18 | INFO     | __main__                       | Téléchargement [14/38]: bsv_gc_n_23_du_15_04_2025.pdf
2025-10-24 08:05:22 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5609.6 KB): bsv_gc_n_23_du_15_04_2025.pdf
2025-10-24 08:05:23 | INFO     | __main__                       | Téléchargement [15/38]: bsv_gc_n_22_du_08_04_2025.pdf
2025-10-24 08:05:28 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4590.8 KB): bsv_gc_n_22_du_08_04_2025.pdf
2025-10-24 08:05:29 | INFO     | __main__                       | Téléchargement [16/38]: bsv_gc_n_21_du_01_04_2025.pdf
2025-10-24 08:05:33 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4630.2 KB): bsv_gc_n_21_du_01_04_2025.pdf
2025-10-24 08:05:34 | INFO     | __main__                       | Téléchargement [17/38]: bsv_gc_n_20_du_25_03_2025.pdf
